symbol,name,price
HGAS,Global Gas Corporation,0.29
SVVC,"Firsthand Technology Value Fund, Inc.",0.06
HMR,Heidmar Maritime Holdings Corp.,2.56
RDFN,Redfin Corporation,9.77
CKPT,"Checkpoint Therapeutics, Inc.",3.98
XAGE,Longevity Health Holdings Inc.,0.32
STSS,"Sharps Technology, Inc.",0.44
PTGX,"Protagonist Therapeutics, Inc.",55.95
BALY,Bally's Corporation,17.3
MLYS,"Mineralys Therapeutics, Inc.",14.96
TRVI,"Trevi Therapeutics, Inc.",6.07
SNOA,"Sonoma Pharmaceuticals, Inc.",2.79
AEON,"AEON Biopharma, Inc.",0.92
PTHL,Pheton Holdings Ltd Class A Ordinary Shares,3.185
SMST,Defiance Daily Target 1.5x Short MSTR ETF,7.21
MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,24.62
KUKE,Kuke Music Holding Limited,0.2662
TSLQ,AXS TSLA Bear Daily ETF,70.5
TSLZ,T-Rex 2X Inverse Tesla Daily Target ETF,6.48
TSDD,GraniteShares 1.5x Short TSLA Daily ETF,88.74
CUTR,"Cutera, Inc.",0.1285
LZMH,LZ Technology Holdings Limited Class B Ordinary Shares,15.66
DWTX,"Dogwood Therapeutics, Inc.",8.44
ETHD,Proshares UltraShort Ether ETF,55.2
SPRC,SciSparc Ltd.,0.4
SKBL,Skyline Builders Group Holding Limited,10.85
AMBO,Ambow Education Holding Ltd.,2.85
PEV,Phoenix Motor Inc.,0.3998
SUUN,SolarBank Corporation,4.49
UVIX,2x Long VIX Futures ETF,47.26
VLCN,"Volcon, Inc.",0.9903
BON,Bon Natural Life Limited,1.1384
SBIT,Proshares Ultrashort Bitcoin ETF,14.81
CONI,GraniteShares 1x Short COIN Daily ETF,14.89
MCTR,CTRL Group Limited Ordinary Shares,5.75
SARK,AXS Short Innovation Daily ETF,53.61
CENN,Cenntro Electric Group Limited,1.08
ASST,Asset Entities Inc.,0.59
CURR,"Currenc Group, Inc.",2.63
DMAAR,Drugs Made In America Acquisition Corp. Rights,0.14
APLM,"Apollomics, Inc.",7.55
WLGS,"WANG & LEE GROUP, Inc.",4.42
UVXY,ProShares Ultra VIX Short-Term Futures ETF,27.75
BREA,Brera Holdings PLC Class B Ordinary Shares,0.765
VRN,Veren Inc.,5.7
PRZO,ParaZero Technologies Ltd.,0.79
TSLS,Direxion Daily TSLA Bear 1X Shares,13.63
BERZ,MicroSectors Solactive FANG & Innovation -3X Inverse Leveraged ETNs,17.12
FNGD,MicroSectors FANG+ Index -3X Inverse Leveraged ETN,18.77
SOXS,Direxion Daily Semiconductor Bear 3X Shares,27.17
